Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,Silent,78.3,73.2,66.6,55.9,81.6,77.5,73.4,80.9,40,37.8,39.3,80
1989:Q3,BabyBoom,21.4,26.3,32.7,41.7,18.2,22.4,26.2,18.7,58.3,61.1,56.9,19.8
1989:Q3,GenX,0.4,0.6,0.6,2.4,0.2,0,0.4,0.5,1.7,1.1,3.8,0.2
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,78.2,73,67.4,55.3,81,77.4,72.5,80.3,39.9,37.8,39.1,79.4
1989:Q4,BabyBoom,21.4,26.3,31.9,42.1,18.8,22.6,26.9,19.2,58.3,61.1,56.7,20.4
1989:Q4,GenX,0.5,0.6,0.8,2.6,0.2,0,0.5,0.6,1.8,1.1,4.2,0.2
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,77.9,72.8,67,55.1,83.5,76.1,72.5,80,39.7,37.7,38.6,78.7
1990:Q1,BabyBoom,21.6,26.6,32.2,42.1,16.5,23.7,27,19.4,58.3,61,56.8,21.1
1990:Q1,GenX,0.5,0.7,0.7,2.7,0,0.1,0.6,0.6,2.1,1.3,4.6,0.2
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,77.9,72.7,67.7,54.5,84.9,74.7,72.7,79.6,39.6,37.7,38.2,78.2
1990:Q2,BabyBoom,21.5,26.5,31.5,42.5,15.1,24.9,26.8,19.7,58.1,60.8,56.7,21.5
1990:Q2,GenX,0.5,0.8,0.8,3,0,0.4,0.5,0.7,2.3,1.5,5.1,0.2
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,77.7,72.4,66.7,54.4,91.8,72.6,72.8,79.7,39.3,37.6,37.8,78
1990:Q3,BabyBoom,21.8,26.8,32.4,42.5,8.2,26.9,26.6,19.7,58.3,60.8,56.6,21.8
1990:Q3,GenX,0.6,0.8,0.9,3,0,0.5,0.6,0.7,2.5,1.6,5.6,0.2
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,77.5,72.1,66.7,54.4,87.2,73.6,72.4,78.7,38.9,37.4,37.3,77.4
1990:Q4,BabyBoom,21.9,27,32.5,42.4,12.8,26,26.8,20.4,58.5,61.1,56.4,22.4
1990:Q4,GenX,0.6,0.9,0.8,3.2,0,0.4,0.8,0.9,2.6,1.5,6.3,0.2
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q1,Silent,77.2,72,66.6,53.9,81.4,76.2,71.8,77.8,38.6,37.1,36.5,76.5
1991:Q1,BabyBoom,22,27,32.4,42.5,18.6,23.6,27.2,21.1,58.8,61.4,56.6,23.3
1991:Q1,GenX,0.7,1,1,3.6,0,0.2,1,1.1,2.7,1.5,6.9,0.2
1991:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q2,Silent,77.2,71.8,66.1,53.6,82.9,75.8,71.9,77.8,38.3,37,35.9,76.2
1991:Q2,BabyBoom,22.1,27.1,32.7,42.6,17.1,24.2,27.2,21,58.8,61.3,56.5,23.6
1991:Q2,GenX,0.7,1,1.1,3.8,0,0.1,1,1.2,2.9,1.7,7.5,0.2
1991:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q3,Silent,76.9,71.6,65.3,53.8,81.8,76.2,72.2,77.5,38.4,37.2,35.4,75.6
1991:Q3,BabyBoom,22.4,27.3,33.6,42.2,18.2,23.8,26.9,21.2,58.4,60.9,56.4,24
1991:Q3,GenX,0.7,1,1.1,4,0,0,0.9,1.3,3.2,1.9,8.2,0.4
1991:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q4,Silent,76.1,70.9,64.2,53.6,76.6,77.2,72,76.5,38.3,37.1,34.9,75.1
1991:Q4,BabyBoom,23,27.8,34.4,42.1,22.8,22.8,27.1,22,58.1,60.7,56.2,24.4
1991:Q4,GenX,0.9,1.2,1.4,4.3,0.7,0,0.9,1.5,3.6,2.2,8.9,0.5
1991:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q1,Silent,75.9,70.7,64.4,52.8,77.6,75.3,72.4,77,38.3,37.4,34.2,73.9
1992:Q1,BabyBoom,23.2,28,34,42.5,22,24.6,26.6,21.5,57.7,59.9,56.3,25.5
1992:Q1,GenX,0.9,1.3,1.6,4.6,0.5,0.1,0.9,1.5,4.1,2.7,9.5,0.6
1992:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q2,Silent,75.6,70.5,64.6,52.2,78.8,73.3,73,76.9,38.3,37.6,33.6,73.2
1992:Q2,BabyBoom,23.5,28.1,33.8,42.8,21,26.2,26.2,21.5,57.2,59.4,56.2,26
1992:Q2,GenX,0.9,1.4,1.7,5,0.3,0.5,0.8,1.6,4.5,3,10.3,0.8
1992:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q3,Silent,74.7,69.6,62.8,52.5,77.9,72.1,73.4,76.4,37.9,37.3,32.9,72.6
1992:Q3,BabyBoom,24.2,28.8,35.4,42.3,21.7,27.2,25.8,21.8,57.3,59.4,56,26.6
1992:Q3,GenX,1.1,1.6,1.8,5.2,0.4,0.7,0.8,1.8,4.8,3.3,11.2,0.8
1992:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q4,Silent,73.6,68.6,62.3,52.2,73.9,70.5,72.5,76.1,37.2,36.7,32.1,71.7
1992:Q4,BabyBoom,25.1,29.6,35.8,42.2,25,28.3,26.7,22,57.4,59.6,56,27.4
1992:Q4,GenX,1.3,1.8,1.9,5.6,1.1,1.1,0.7,1.9,5.4,3.8,11.9,0.9
1992:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q1,Silent,73.7,68.7,63.7,50.6,73.2,70.4,72.3,75.8,36.7,36.2,31,71.1
1993:Q1,BabyBoom,25,29.4,34.1,43,25.6,28.6,26.9,22.3,57.6,59.7,56.5,27.8
1993:Q1,GenX,1.3,1.9,2.2,6.3,1.2,1,0.8,1.9,5.8,4.1,12.6,1.1
1993:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q2,Silent,73.1,68,62.5,50.3,72.6,69.8,71.3,75.9,35.9,35.4,30,70.3
1993:Q2,BabyBoom,25.5,29.9,35.1,42.9,26.2,29.3,27.8,22.1,57.8,59.9,56.6,28.5
1993:Q2,GenX,1.3,2,2.4,6.7,1.2,1,0.9,2,6.3,4.6,13.3,1.1
1993:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q3,Silent,72.4,67.3,61.3,50.2,71.5,69,70.5,75.7,35.1,34.6,29.2,70.2
1993:Q3,BabyBoom,26.2,30.6,36.2,42.7,27.1,29.9,28.6,22.2,58.2,60.4,56.6,28.6
1993:Q3,GenX,1.4,2.2,2.5,7.1,1.4,1,0.9,2.1,6.7,5,14.1,1.2
1993:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q4,Silent,71.8,66.7,60.7,49.5,70.2,68.4,69.4,75.8,34.4,33.9,28.6,69.8
1993:Q4,BabyBoom,26.6,31,36.6,42.9,28.2,30.4,29.4,21.9,58.2,60.7,56.5,28.8
1993:Q4,GenX,1.6,2.4,2.8,7.6,1.6,1.2,1.1,2.3,7.3,5.4,14.9,1.3
1993:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q1,Silent,71.5,66.3,60.9,48.3,71.8,66.8,68.9,75.2,33.7,33.2,27.6,69
1994:Q1,BabyBoom,26.8,31.2,35.9,43.5,27.1,31.8,29.8,22.8,58.6,61.1,56.7,29.6
1994:Q1,GenX,1.6,2.5,3.1,8.2,1.1,1.4,1.3,2.1,7.7,5.7,15.7,1.4
1994:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q2,Silent,71.5,66.1,60.5,47.7,74.1,65.3,68.7,75.6,33,32.6,27,68
1994:Q2,BabyBoom,26.9,31.4,36.2,43.7,25.4,33.2,30.1,22.3,58.7,61.1,56.5,30.4
1994:Q2,GenX,1.6,2.5,3.3,8.7,0.5,1.5,1.2,2,8.3,6.3,16.5,1.5
1994:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q3,Silent,70.9,65.5,59.5,47.5,74.4,64.2,68.2,75.2,32.3,31.9,26.4,67.1
1994:Q3,BabyBoom,27.5,31.9,37.1,43.4,25.2,34,30.6,22.7,58.7,61.2,56.3,31.3
1994:Q3,GenX,1.6,2.6,3.4,9.1,0.3,1.7,1.2,2.1,8.9,6.9,17.2,1.7
1994:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q4,Silent,70.8,65.2,59.4,47.1,76.1,62.4,67.9,75.2,31.8,31.4,26.1,66.6
1994:Q4,BabyBoom,27.7,32.1,37.4,43.4,23.9,35.3,31,22.8,58.5,61.2,56,31.5
1994:Q4,GenX,1.5,2.7,3.3,9.5,0,2.2,1.1,2,9.6,7.5,18,1.9
1994:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q1,Silent,70.3,64.7,58.7,46.6,75.4,62.3,67.5,74.4,31.1,30.8,25.2,65.4
1995:Q1,BabyBoom,28.2,32.5,37.7,43.3,24.6,35.5,31.4,23.5,58.8,61.4,56,32.6
1995:Q1,GenX,1.6,2.8,3.5,10.2,0.1,2.2,1.1,2.1,10.1,7.8,18.7,2
1995:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q2,Silent,69,63.6,56.1,46.9,73.4,62.1,66.6,73.6,30.4,30.1,24.7,64.4
